Baseline - Traditional CDN-based System,,,,,NovaGenesis - Named Content Distribution,,,
Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s),,Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s)
934,"5,830","11,200",0.5205,,934,"5,830",10969.66407,0.531465682
935,"5,870","11,400",0.5149,,935,"5,870",11023.89723,0.532479565
936,"5,870","11,400",0.5149,,936,"5,870",11018.32222,0.532748987
937,"5,880","11,300",0.5204,,937,"5,880",10995.24144,0.534776797
938,"5,810","11,300",0.5142,,938,"5,810",10879.40969,0.534036328
939,"5,890","11,400",0.5167,,939,"5,890",11010.67567,0.534935382
940,"5,870","11,300",0.5195,,940,"5,870",10948.18209,0.536162072
941,"5,800","10,900",0.5321,,941,"5,800",10809.94735,0.536542854
942,"5,840","11,300",0.5168,,942,"5,840",10843.30733,0.538581064
943,"5,840","11,400",0.5123,,943,"5,840",10828.36102,0.539324464
944,"5,870","11,300",0.5195,,944,"5,870",10842.47643,0.541389233
945,"5,840","11,300",0.5168,,945,"5,840",10770.47985,0.542222824
946,"5,830","11,300",0.5159,,946,"5,830",10735.20822,0.543072838
947,"5,850","11,300",0.5177,,947,"5,850",11243.8532,0.520284274
948,"5,860","10,900",0.5376,,948,"5,860",11234.0992,0.521626158
949,"5,830","11,300",0.5159,,949,"5,830",11160.17344,0.522393315
950,"5,840","11,400",0.5123,,950,"5,840",11143.03867,0.524094026
951,"5,850","11,300",0.5177,,951,"5,850",11165.51642,0.523934566
952,"5,840","11,300",0.5168,,952,"5,840",11119.81975,0.525188369
953,"5,840","11,300",0.5168,,953,"5,840",11109.97488,0.525653754
954,"5,830","11,300",0.5159,,954,"5,830",11045.2218,0.527830052
955,"5,860","11,300",0.5186,,955,"5,860",11098.37155,0.52800539
956,"5,840","11,300",0.5168,,956,"5,840",11065.0896,0.527786056
957,"5,840","11,300",0.5168,,957,"5,840",11042.77514,0.528852569
958,"5,830","10,600",0.55,,958,"5,830",11036.83211,0.528231284
959,"5,840","11,300",0.5168,,959,"5,840",11039.37534,0.52901544
960,"5,870","11,400",0.5149,,960,"5,870",11053.80556,0.531038832
961,"5,860","11,400",0.514,,961,"5,860",10992.93607,0.533069597
962,"5,880","11,100",0.5297,,962,"5,880",11013.08908,0.533910146
963,"5,830","11,300",0.5159,,963,"5,830",10884.7848,0.535610038
964,"5,820","11,200",0.5196,,964,"5,820",10872.84574,0.535278449
965,"5,820","11,300",0.515,,965,"5,820",10857.40516,0.536039681
966,"5,850","10,800",0.5417,,966,"5,850",10906.10751,0.536396693
967,"5,830","11,300",0.5159,,967,"5,830",11228.44316,0.519217127
968,"5,850","10,800",0.5417,,968,"5,850",11155.41251,0.524409115
969,"5,870","11,100",0.5288,,969,"5,870",11147.57192,0.526572068
970,"5,880","11,400",0.5158,,970,"5,880",11180.86736,0.525898377
971,"5,860","10,900",0.5376,,971,"5,860",11125.2099,0.526731635
972,"5,850","11,300",0.5177,,972,"5,850",11032.44318,0.530254261
973,"5,880","11,400",0.5158,,973,"5,880",11094.30271,0.530001763
974,"5,910","11,400",0.5184,,974,"5,910",11111.73442,0.531870163
975,"5,850","11,300",0.5177,,975,"5,850",10981.07957,0.532734506
976,"5,830","11,000",0.53,,976,"5,830",10946.03935,0.532612739
977,"5,850","11,100",0.527,,977,"5,850",10978.92957,0.532838831
978,"5,870","11,400",0.5149,,978,"5,870",10975.73332,0.534816201
979,"5,850","11,400",0.5132,,979,"5,850",10923.47998,0.535543619
980,"5,850","11,300",0.5177,,980,"5,850",10904.91057,0.536455568
981,"5,840","11,300",0.5168,,981,"5,840",10858.06769,0.537848922
982,"5,850","11,300",0.5177,,982,"5,850",10841.1627,0.539610018
983,"5,840","11,300",0.5168,,983,"5,840",10805.48736,0.540466136
984,"5,860","11,400",0.514,,984,"5,860",10824.70827,0.541354081
985,"5,820","11,200",0.5196,,985,"5,820",10687.73943,0.544549204
986,"5,870","10,800",0.5435,,986,"5,870",10754.96029,0.54579467
987,"5,850","11,200",0.5223,,987,"5,850",11075.53703,0.528191092
988,"5,810","11,300",0.5142,,988,"5,810",11015.82499,0.527423049
989,"5,880","11,400",0.5158,,989,"5,880",11088.29415,0.530288963
990,"5,860","11,400",0.514,,990,"5,860",11078.81978,0.528937208
991,"5,880","11,400",0.5158,,991,"5,880",11131.86818,0.528213226
992,"5,900","11,400",0.5175,,992,"5,900",11137.71242,0.52973176
993,"5,870","11,400",0.5149,,993,"5,870",11054.42408,0.53100912
994,"5,820","11,300",0.515,,994,"5,820",10939.70975,0.532006802
995,"5,890","11,400",0.5167,,995,"5,890",11067.36525,0.532195321
996,"5,860","11,400",0.514,,996,"5,860",10988.17093,0.533300769
997,"5,850","11,300",0.5177,,997,"5,850",10931.57516,0.535147032
998,"5,870","11,400",0.5149,,998,"5,870",10955.01208,0.535827798
999,"5,880","11,400",0.5158,,999,"5,880",10972.04816,0.535907236
